"Cipher Info","","","","Implementation Info","","","Code Size","","","","","RAM","","","","","","","","","","Execution Time","","",""
"","","","","","","","","","","","Stack","","","","Data","","","",""
"Cipher","Block Size (bits)","Key Size (bits)","Version","Language","Options","EKS (bytes)","E (bytes)","DKS (bytes)","D(bytes)","EKS + E + DKS + D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","Common (bytes)","Total (bytes)","EKS (cycles)","E (cycles)","DKS (cycles)","D (cycles)"
"CLEFIA","128","128","02","C",="-O3","3380","3724","0","3940","4620","-","-","-","-","-","-","-","-","-","-","15375","117960","0","118162"
"CLEFIA","128","128","02","C",="-O2","2936","2952","0","2992","3344","-","-","-","-","-","-","-","-","-","-","18196","147718","0","147554"
"CLEFIA","128","128","02","C",="-O1","1804","1796","0","1848","2208","-","-","-","-","-","-","-","-","-","-","20671","161828","0","163067"
"CLEFIA","128","128","02","C",="-Os","1732","1736","0","1786","2106","-","-","-","-","-","-","-","-","-","-","20424","168622","0","169005"
"CLEFIA","128","128","04","C",="-O3","2892","3132","0","3348","4076","-","-","-","-","-","-","-","-","-","-","11363","94104","0","94627"
"CLEFIA","128","128","04","C",="-O2","2880","2792","0","2832","3232","-","-","-","-","-","-","-","-","-","-","11373","96162","0","96254"
"CLEFIA","128","128","04","C",="-O1","1788","1700","0","1752","2136","-","-","-","-","-","-","-","-","-","-","12985","117733","0","118534"
"CLEFIA","128","128","04","C",="-Os","1716","1634","0","1684","2030","-","-","-","-","-","-","-","-","-","-","13058","116619","0","117050"
"CLEFIA","128","128","05","C",="-O3","3132","2976","0","3192","4316","-","-","-","-","-","-","-","-","-","-","10266","94747","0","95142"
"CLEFIA","128","128","05","C",="-O2","3132","2648","0","2688","3484","-","-","-","-","-","-","-","-","-","-","10262","96586","0","96246"
"CLEFIA","128","128","05","C",="-O1","1912","1584","0","1636","2260","-","-","-","-","-","-","-","-","-","-","10906","108317","0","109078"
"CLEFIA","128","128","05","C",="-Os","1908","1536","0","1586","2222","-","-","-","-","-","-","-","-","-","-","10682","108110","0","108831"
"CLEFIA","128","128","06","C",="-O3","2052","10088","0","10304","11428","-","-","-","-","-","-","-","-","-","-","3733","15681","0","16086"
"CLEFIA","128","128","06","C",="-O2","1276","8984","0","9024","9820","-","-","-","-","-","-","-","-","-","-","4254","23411","0","24458"
"CLEFIA","128","128","06","C",="-O1","1120","8984","0","9036","9660","-","-","-","-","-","-","-","-","-","-","3924","24636","0","25659"
"CLEFIA","128","128","06","C",="-Os","1082","8902","0","8952","9588","-","-","-","-","-","-","-","-","-","-","4204","30166","0","27581"
"CLEFIA","128","128","07","C",="-O3","1820","5760","0","5976","7100","-","-","-","-","-","-","-","-","-","-","3569","14025","0","14374"
"CLEFIA","128","128","07","C",="-O2","1252","4864","0","4904","5700","-","-","-","-","-","-","-","-","-","-","4291","24761","0","26118"
"CLEFIA","128","128","07","C",="-O1","1088","4856","0","4908","5532","-","-","-","-","-","-","-","-","-","-","3804","23196","0","24219"
"CLEFIA","128","128","07","C",="-Os","1066","4790","0","4840","5476","-","-","-","-","-","-","-","-","-","-","4080","28694","0","25837"
"CLEFIA","128","128","08","C",="-O3","1676","5616","0","5832","6956","-","-","-","-","-","-","-","-","-","-","3569","14025","0","14374"
"CLEFIA","128","128","08","C",="-O2","1652","5264","0","5304","6100","-","-","-","-","-","-","-","-","-","-","3573","15889","0","16926"
"CLEFIA","128","128","08","C",="-O1","1416","5184","0","5236","5860","-","-","-","-","-","-","-","-","-","-","3364","17501","0","17498"
"CLEFIA","128","128","08","C",="-Os","1336","5060","0","5110","5746","-","-","-","-","-","-","-","-","-","-","3442","21018","0","18399"
"CLEFIA","128","128","09","C",="-O3","1272","7068","0","7292","11056","-","-","-","-","-","-","-","-","-","-","3646","12216","0","12536"
"CLEFIA","128","128","09","C",="-O2","1272","6740","0","6788","10224","-","-","-","-","-","-","-","-","-","-","3656","14023","0","13584"
"CLEFIA","128","128","09","C",="-O1","1044","6776","0","6828","10072","-","-","-","-","-","-","-","-","-","-","3110","14665","0","15753"
"CLEFIA","128","128","09","C",="-Os","1012","6848","0","6914","10198","-","-","-","-","-","-","-","-","-","-","3163","14558","0","14629"
"CLEFIA","128","128","10","C",="-O3","1736","5676","0","5892","7016","-","-","-","-","-","-","-","-","-","-","3499","13151","0","13838"
"CLEFIA","128","128","10","C",="-O2","1720","5332","0","5372","6168","-","-","-","-","-","-","-","-","-","-","3533","15390","0","15366"
"CLEFIA","128","128","10","C",="-O1","1484","5252","0","5304","5928","-","-","-","-","-","-","-","-","-","-","3276","16637","0","16797"
"CLEFIA","128","128","10","C",="-Os","1364","5088","0","5138","5774","-","-","-","-","-","-","-","-","-","-","3284","18879","0","18930"
"CLEFIA","128","128","11","C",="-O3","1304","7028","0","7172","10928","-","-","-","-","-","-","-","-","-","-","3807","11776","0","11840"
"CLEFIA","128","128","11","C",="-O2","1300","6700","0","6668","10092","-","-","-","-","-","-","-","-","-","-","3833","12735","0","13052"
"CLEFIA","128","128","11","C",="-O1","1064","6380","0","6432","9300","-","-","-","-","-","-","-","-","-","-","3205","12561","0","13924"
"CLEFIA","128","128","11","C",="-Os","1008","6356","0","6406","9194","-","-","-","-","-","-","-","-","-","-","3189","11470","0","11530"
"AES","128","128","02","C",="-O3","692","7248","4884","3376","15256","-","-","-","-","-","-","-","-","-","-","888","18285","2654","19158"
"AES","128","128","02","C",="-O2","452","6920","4644","2872","14184","-","-","-","-","-","-","-","-","-","-","1382","20010","3146","21137"
"AES","128","128","02","C",="-O1","464","6556","4644","2592","13544","-","-","-","-","-","-","-","-","-","-","1424","17909","3243","19432"
"AES","128","128","02","C",="-Os","440","6532","4616","2566","13462","-","-","-","-","-","-","-","-","-","-","1876","18138","4743","19363"
"AES","128","128","08","C",="-O3","472","5312","4668","1436","11164","-","-","-","-","-","-","-","-","-","-","969","12575","2125","12866"
"AES","128","128","08","C",="-O2","472","4972","4668","920","10308","-","-","-","-","-","-","-","-","-","-","937","14775","2199","14769"
"AES","128","128","08","C",="-O1","488","4988","4680","960","10380","-","-","-","-","-","-","-","-","-","-","1206","17177","2485","18857"
"AES","128","128","08","C",="-Os","471","4936","4647","906","10237","-","-","-","-","-","-","-","-","-","-","1111","19694","3251","17390"
"AES","128","128","09","C",="-O3","472","2180","1572","1384","4884","-","-","-","-","-","-","-","-","-","-","914","11712","2165","12311"
"AES","128","128","09","C",="-O2","472","1848","1572","880","4048","-","-","-","-","-","-","-","-","-","-","930","13439","2181","13652"
"AES","128","128","09","C",="-O1","488","1856","1584","896","4088","-","-","-","-","-","-","-","-","-","-","1101","14353","2693","14812"
"AES","128","128","09","C",="-Os","471","1828","1567","866","4009","-","-","-","-","-","-","-","-","-","-","1122","15114","2509","15081"
"AES","128","128","10","C",="-O3","472","2180","1572","1384","4884","-","-","-","-","-","-","-","-","-","-","914","11704","2165","12303"
"AES","128","128","10","C",="-O2","472","1612","1572","656","3588","-","-","-","-","-","-","-","-","-","-","937","20239","2191","19305"
"AES","128","128","10","C",="-O1","488","1632","1584","684","3652","-","-","-","-","-","-","-","-","-","-","1138","19027","2589","21171"
"AES","128","128","10","C",="-Os","471","1584","1567","638","3537","-","-","-","-","-","-","-","-","-","-","1158","20311","2690","23610"
"AES","128","128","11","C",="-O3","472","4148","1572","3340","8808","-","-","-","-","-","-","-","-","-","-","962","12488","2347","12941"
"AES","128","128","11","C",="-O2","472","3820","1572","2836","7976","-","-","-","-","-","-","-","-","-","-","944","14227","2332","14910"
"AES","128","128","11","C",="-O1","488","3392","1584","2384","7112","-","-","-","-","-","-","-","-","-","-","1101","12185","2693","13316"
"AES","128","128","11","C",="-Os","471","3368","1567","2362","7045","-","-","-","-","-","-","-","-","-","-","1107","12290","2682","12675"
"RoadRunneR","64","128","02","C",="-O3","64","1672","144","1804","2504","-","-","-","-","-","-","-","-","-","-","200","69254","1146","70064"
"RoadRunneR","64","128","02","C",="-O2","64","440","48","484","804","-","-","-","-","-","-","-","-","-","-","222","188662","2820","189286"
"RoadRunneR","64","128","02","C",="-O1","64","416","56","472","796","-","-","-","-","-","-","-","-","-","-","201","194205","1940","195741"
"RoadRunneR","64","128","02","C",="-Os","58","386","46","436","722","-","-","-","-","-","-","-","-","-","-","376","201306","2099","200973"
"RoadRunneR","64","128","07","C",="-O3","48","1448","0","1572","2120","-","-","-","-","-","-","-","-","-","-","260","73018","0","75682"
"RoadRunneR","64","128","07","C",="-O2","48","456","0","500","736","-","-","-","-","-","-","-","-","-","-","241","116355","0","118018"
"RoadRunneR","64","128","07","C",="-O1","40","440","0","496","720","-","-","-","-","-","-","-","-","-","-","201","116533","0","118077"
"RoadRunneR","64","128","07","C",="-Os","42","338","0","390","594","-","-","-","-","-","-","-","-","-","-","383","180522","0","181037"
"RoadRunneR","64","128","08","C",="-O3","24","1608","0","1732","2256","-","-","-","-","-","-","-","-","-","-","24","89139","0","89111"
"RoadRunneR","64","128","08","C",="-O2","24","516","0","552","776","-","-","-","-","-","-","-","-","-","-","20","123217","0","124558"
"RoadRunneR","64","128","08","C",="-O1","24","492","0","540","760","-","-","-","-","-","-","-","-","-","-","17","123629","0","124973"
"RoadRunneR","64","128","08","C",="-Os","18","388","0","432","622","-","-","-","-","-","-","-","-","-","-","36","188143","0","189405"
"RoadRunneR","64","128","09","C",="-O3","48","1216","0","1336","1708","-","-","-","-","-","-","-","-","-","-","241","70707","0","70726"
"RoadRunneR","64","128","09","C",="-O2","48","404","0","440","648","-","-","-","-","-","-","-","-","-","-","241","106737","0","106926"
"RoadRunneR","64","128","09","C",="-O1","40","384","0","436","628","-","-","-","-","-","-","-","-","-","-","197","106365","0","106810"
"RoadRunneR","64","128","09","C",="-Os","42","292","0","342","522","-","-","-","-","-","-","-","-","-","-","448","170358","0","170674"
"RoadRunneR","64","128","10","C",="-O3","24","1372","0","1500","1860","-","-","-","-","-","-","-","-","-","-","20","82806","0","83072"
"RoadRunneR","64","128","10","C",="-O2","24","468","0","512","708","-","-","-","-","-","-","-","-","-","-","20","114773","0","113333"
"RoadRunneR","64","128","10","C",="-O1","24","452","0","504","700","-","-","-","-","-","-","-","-","-","-","23","113684","0","114915"
"RoadRunneR","64","128","10","C",="-Os","18","346","0","394","556","-","-","-","-","-","-","-","-","-","-","44","173231","0","173453"
"RoadRunneR","64","128","11","C",="-O3","48","1064","0","1164","2276","-","-","-","-","-","-","-","-","-","-","261","61519","0","64359"
"RoadRunneR","64","128","11","C",="-O2","48","568","0","612","1228","-","-","-","-","-","-","-","-","-","-","225","94319","0","99556"
"RoadRunneR","64","128","11","C",="-O1","40","544","0","608","1192","-","-","-","-","-","-","-","-","-","-","134","107593","0","98785"
"RoadRunneR","64","128","11","C",="-Os","42","466","0","514","1022","-","-","-","-","-","-","-","-","-","-","413","94911","0","92477"
"RoadRunneR","64","128","12","C",="-O3","24","1044","0","1168","2236","-","-","-","-","-","-","-","-","-","-","23","64795","0","66419"
"RoadRunneR","64","128","12","C",="-O2","24","536","0","576","1136","-","-","-","-","-","-","-","-","-","-","23","94759","0","95094"
"RoadRunneR","64","128","12","C",="-O1","24","564","0","616","1204","-","-","-","-","-","-","-","-","-","-","20","98409","0","104363"
"RoadRunneR","64","128","12","C",="-Os","18","480","0","528","1026","-","-","-","-","-","-","-","-","-","-","42","93386","0","95821"
"RoadRunneR","64","128","13","C",="-O3","48","8312","0","8432","16792","-","-","-","-","-","-","-","-","-","-","225","65606","0","66448"
"RoadRunneR","64","128","13","C",="-O2","48","8148","0","8184","16380","-","-","-","-","-","-","-","-","-","-","225","66531","0","67458"
"RoadRunneR","64","128","13","C",="-O1","40","6448","0","6500","12988","-","-","-","-","-","-","-","-","-","-","200","67540","0","69075"
"RoadRunneR","64","128","13","C",="-Os","42","6430","0","6478","12950","-","-","-","-","-","-","-","-","-","-","382","66622","0","66886"
"RoadRunneR","64","128","14","C",="-O3","24","8124","0","8248","16396","-","-","-","-","-","-","-","-","-","-","23","65034","0","65314"
"RoadRunneR","64","128","14","C",="-O2","24","7960","0","8000","15984","-","-","-","-","-","-","-","-","-","-","23","66933","0","66229"
"RoadRunneR","64","128","14","C",="-O1","24","6216","0","6268","12508","-","-","-","-","-","-","-","-","-","-","20","67940","0","69171"
"RoadRunneR","64","128","14","C",="-Os","18","6196","0","6244","12458","-","-","-","-","-","-","-","-","-","-","36","66774","0","67266"
"RoadRunneR","64","128","15","C",="-O3","48","1032","0","1124","2204","-","-","-","-","-","-","-","-","-","-","216","59003","0","65011"
"RoadRunneR","64","128","15","C",="-O2","48","868","0","880","1796","-","-","-","-","-","-","-","-","-","-","241","59955","0","66878"
"RoadRunneR","64","128","15","C",="-O1","40","772","0","800","1612","-","-","-","-","-","-","-","-","-","-","200","57768","0","59027"
"RoadRunneR","64","128","15","C",="-Os","42","756","0","764","1562","-","-","-","-","-","-","-","-","-","-","387","56214","0","57474"
"RoadRunneR","64","128","16","C",="-O3","24","972","0","1104","2100","-","-","-","-","-","-","-","-","-","-","21","56879","0","57719"
"RoadRunneR","64","128","16","C",="-O2","24","812","0","856","1692","-","-","-","-","-","-","-","-","-","-","20","57888","0","58772"
"RoadRunneR","64","128","16","C",="-O1","24","716","0","768","1508","-","-","-","-","-","-","-","-","-","-","20","54809","0","55980"
"RoadRunneR","64","128","16","C",="-Os","18","726","0","774","1518","-","-","-","-","-","-","-","-","-","-","39","57087","0","60365"
"RoadRunneR","64","128","17","C",="-O3","48","7772","0","7896","15716","-","-","-","-","-","-","-","-","-","-","261","50815","0","51319"
"RoadRunneR","64","128","17","C",="-O2","48","7608","0","7648","15304","-","-","-","-","-","-","-","-","-","-","261","52723","0","52196"
"RoadRunneR","64","128","17","C",="-O1","40","6948","0","7000","13988","-","-","-","-","-","-","-","-","-","-","217","49833","0","51260"
